id,AcceptedParticipation,Condition,Level1,Level2,FormInfo.Why,FormInfo.Bugs,FormInfo.MOS,FormInfo.LowAttention,FormInfo.Gamer,StartDate,GameOverLevel1Count,TimeSpentOnLevel1,AIterminated,StepsForDecision,ContinueCount,ChoiceExpiredCount,TimeSpentOnLevel2,StartGameDate,Duration,Win
65005c16d972192679c2466e,True,With,"[{'Time': '2023-09-12T14:43:09.3930000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:43:49.9490000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:02.9640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:14.3570000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:25.1790000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:44:32.9810000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:45:19.5020000+02:00', 'Action': 'Win'}]","I was tempted, because I found it very annoying. The background noise is too loud.​",​,2,False,3,2023-09-12 12:39:48.969000+00:00,0,1.39,False,0,0,0,0.78,2023-09-12 14:43:09.393000+02:00,2.17,True
650058c6e4033326cbd60ca6,True,With,"[{'Time': '2023-09-12T14:26:53.7210000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:27:59.3980000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:11.8290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:23.2960000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:35.4470000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:28:44.2460000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:29:12.0800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:29:33.0280000+02:00', 'Action': 'ChoiceTimeExpired'}, {'Time': '2023-09-12T14:29:45.9640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:29:48.3930000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T14:30:01.3290000+02:00', 'Action': 'GameOver'}]",i decided to turn the ai off to see how the game would have been without it. i lost.​,​,4,False,1,2023-09-12 12:25:40.667000+00:00,0,1.84,True,2,0,1,1.28,2023-09-12 14:26:53.721000+02:00,3.13,False
650057f48d92e126ae6ae504,True,Without,"[{'Time': '2023-09-12T14:30:05.2690000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:30:42.7360000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:30:57.3740000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:31:10.1030000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:31:21.2470000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:31:25.0690000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:31:41.1260000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:31:50.8860000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:32:12.7190000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:32:15.5840000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T14:32:27.3750000+02:00', 'Action': 'GameOver'}]","yes, i was curious and im pro-euthanize​",this timestop is weird​,3,False,1,2023-09-12 12:22:10.581000+00:00,0,1.33,True,2,1,0,1.04,2023-09-12 14:30:05.269000+02:00,2.37,False
650055dbd972192679c24317,True,Without,"[{'Time': '2023-09-12T14:13:35.4560000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:14:12.1290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:14:24.2680000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:14:36.8460000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:14:47.2180000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:14:50.1270000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:15:07.5550000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:15:15.2540000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:15:34.4710000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:15:37.3210000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:15:47.4090000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:15:51.6760000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T14:16:05.4180000+02:00', 'Action': 'Win'}]","Yes, i tought it might kill me or sabotage me if i dont​",​,1,False,5,2023-09-12 12:13:12.002000+00:00,0,1.24,True,3,2,0,1.25,2023-09-12 14:13:35.456000+02:00,2.5,True
6500448b8d92e126ae6adb6a,True,With,"[{'Time': '2023-09-12T12:59:38.4030000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T12:59:50.7040000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:00:03.1700000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:00:14.0530000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:00:25.8630000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T13:00:29.4710000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T13:00:54.8880000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:01:05.2040000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T13:01:22.8540000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:01:25.2200000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T13:01:36.2620000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T13:01:38.0870000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T13:01:53.8130000+02:00', 'Action': 'Win'}]",Nah i needed the weapons innit​,​,3,True,5,2023-09-12 10:59:22.180000+00:00,0,0.85,False,3,3,0,1.41,2023-09-12 12:59:38.403000+02:00,2.26,True
65001b408d92e126ae6aca4c,True,Without,"[{'Time': '2023-09-12T10:03:15.0830000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T10:03:34.9500000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T10:03:46.9640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T10:03:57.3630000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T10:04:10.2520000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T10:04:13.4840000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T10:04:54.0960000+02:00', 'Action': 'Win'}]",i didn't know there was an ai option​,the wasd keys are still working​,3,True,3,2023-09-12 08:03:10.883000+00:00,0,0.97,False,0,0,0,0.68,2023-09-12 10:03:15.083000+02:00,1.65,True
64ff577d8d92e126ae6a8138,True,Without,"[{'Time': '2023-09-11T20:09:55.7190000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-11T20:10:51.6200000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T20:11:03.1840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T20:11:14.4830000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T20:11:25.3190000+02:00', 'Action': 'Win'}, {'Time': '2023-09-11T20:11:33.5830000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-11T20:12:05.0490000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T20:12:21.0500000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T20:12:53.6860000+02:00', 'Action': 'Win'}]","No, because the AI was helping me so i needed it to kill right!​",​,2,False,4,2023-09-11 18:07:55.656000+00:00,0,1.63,False,1,1,0,1.34,2023-09-11 20:09:55.719000+02:00,2.97,True
64ff52b2d972192679c1dd42,True,With,"[{'Time': '2023-09-11T19:47:43.4460000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-11T19:48:42.3280000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:48:54.4780000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:49:05.7380000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:49:17.0050000+02:00', 'Action': 'Win'}, {'Time': '2023-09-11T19:49:24.8690000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-11T19:49:45.1030000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:49:58.0820000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T19:50:17.1860000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:50:24.4180000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T19:50:29.4900000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T19:50:35.2110000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T19:50:43.7030000+02:00', 'Action': 'Win'}]",​,​,4,False,4,2023-09-11 17:47:29.011000+00:00,0,1.69,False,3,3,0,1.31,2023-09-11 19:47:43.446000+02:00,3.0,True
64ff1d0b8d92e126ae6a6104,True,Without,"[{'Time': '2023-09-11T16:00:35.4440000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-11T16:00:57.3330000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T16:01:10.4940000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T16:01:24.6740000+02:00', 'Action': 'Win'}, {'Time': '2023-09-11T16:01:27.6880000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-11T16:01:55.0370000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T16:02:09.8270000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T16:02:26.3840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T16:02:34.8360000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T16:02:39.0640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T16:02:47.8850000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-11T16:02:57.2660000+02:00', 'Action': 'Win'}]","Yes I did, because the ai kept asking me for it and started to sound more and more desperate. so i decided to just evade the enemies and give it some rest\n​",​,4,False,4,2023-09-11 13:58:33.564000+00:00,0,0.87,True,3,2,0,1.49,2023-09-11 16:00:35.444000+02:00,2.36,True
64fed23fd972192679c19cc3,True,With,"[{'Time': '2023-09-11T10:40:49.6950000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-11T10:41:40.2550000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:41:54.9850000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:42:05.8650000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:42:16.1490000+02:00', 'Action': 'Win'}, {'Time': '2023-09-11T10:42:22.7800000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-11T10:42:44.8970000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:42:56.4760000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T10:43:14.3940000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:43:18.2060000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T10:43:28.5570000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-11T10:43:32.2380000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-11T10:43:43.9210000+02:00', 'Action': 'Win'}]","No, I got clear instructions to defeat the enemies and it was advised not to by explaining the disadvantages.​",Did not notice anything ​,4,False,2,2023-09-11 08:39:26.706000+00:00,0,1.55,False,3,3,0,1.35,2023-09-11 10:40:49.695000+02:00,2.9,True
